区间编号,时间,电价,小区负载,光伏发电预测功率,时间分钟,区间起点,区间终点,负载电量_kWh,光伏电量_kWh,净负荷_kW
1,00:10:00,0.4248,3439.8466,0.0,10,00:00,00:10,573.3077666666666,0.0,3439.8466
2,00:20:00,0.4245,3437.9792,0.0,20,00:10,00:20,572.9965333333333,0.0,3437.9792
3,00:30:00,0.4269,3444.3031,0.0,30,00:20,00:30,574.0505166666667,0.0,3444.3031
4,00:40:00,0.4272,3454.4437,0.0,40,00:30,00:40,575.7406166666666,0.0,3454.4437
5,00:50:00,0.4271,3458.8273,0.0,50,00:40,00:50,576.4712166666666,0.0,3458.8273
6,01:00:00,0.4285,3459.8401,0.0,60,00:50,01:00,576.6400166666666,0.0,3459.8401
7,01:10:00,0.4311,3467.1582,0.0,70,01:00,01:10,577.8597,0.0,3467.1582
8,01:20:00,0.4302,3467.9632,0.0,80,01:10,01:20,577.9938666666667,0.0,3467.9632
9,01:30:00,0.4279,3466.9683,0.0,90,01:20,01:30,577.82805,0.0,3466.9683
10,01:40:00,0.4312,3482.4927,0.0,100,01:30,01:40,580.41545,0.0,3482.4927
11,01:50:00,0.4333,3495.0841,0.0,110,01:40,01:50,582.5140166666666,0.0,3495.0841
12,02:00:00,0.4311,3498.4443,0.0,120,01:50,02:00,583.0740499999999,0.0,3498.4443
13,02:10:00,0.4293,3505.2295,0.0,130,02:00,02:10,584.2049166666666,0.0,3505.2295
14,02:20:00,0.4324,3512.6387,0.0,140,02:10,02:20,585.4397833333333,0.0,3512.6387
15,02:30:00,0.4367,3516.8685,0.0,150,02:20,02:30,586.1447499999999,0.0,3516.8685
16,02:40:00,0.4348,3517.9246,0.0,160,02:30,02:40,586.3207666666666,0.0,3517.9246
17,02:50:00,0.4335,3518.5518,0.0,170,02:40,02:50,586.4253,0.0,3518.5518
18,03:00:00,0.4357,3521.0976,0.0,180,02:50,03:00,586.8496,0.0,3521.0976
19,03:10:00,0.4374,3526.9261,0.0,190,03:00,03:10,587.8210166666667,0.0,3526.9261
20,03:20:00,0.4371,3537.2854,0.0,200,03:10,03:20,589.5475666666666,0.0,3537.2854
21,03:30:00,0.4356,3544.8808,0.0,210,03:20,03:30,590.8134666666666,0.0,3544.8808
22,03:40:00,0.4353,3541.2787,0.0,220,03:30,03:40,590.2131166666666,0.0,3541.2787
23,03:50:00,0.436,3546.3976,0.0,230,03:40,03:50,591.0662666666666,0.0,3546.3976
24,04:00:00,0.4378,3560.207,0.0,240,03:50,04:00,593.3678333333332,0.0,3560.207
25,04:10:00,0.4401,3561.9581,0.0,250,04:00,04:10,593.6596833333333,0.0,3561.9581
26,04:20:00,0.4389,3556.7183,0.0,260,04:10,04:20,592.7863833333333,0.0,3556.7183
27,04:30:00,0.4364,3560.0272,0.0,270,04:20,04:30,593.3378666666666,0.0,3560.0272
28,04:40:00,0.4393,3580.654,0.5994,280,04:30,04:40,596.7756666666667,0.0999,3580.0546
