月份,天数,计划购电费_元,紧急购电费_元,紧急购电量_kWh,弃光量_kWh,未利用外网电量_kWh,平均负载MAE_kW,平均光伏MAE_kW,弃光率,总购电费_元
2,28,1389478.3062470465,0.0,0.0,216953.17198468684,32397.471550487942,215.93817289351,127.37039996228216,0.16417503621114898,1389478.3062470465
3,31,1196601.8025425326,16852.731978380394,2534.7361366055893,209997.88474488596,11626.492863730136,232.90691675637086,170.78293279830802,0.12249614567571468,1213454.534520913
4,30,1019449.3294737198,6829.002781137815,1008.8271125599376,264086.9186042351,3218.120952177874,179.98923055323058,208.10809275321645,0.1357624198844031,1026278.3322548576
5,31,1010692.7258399359,1167.163450299768,187.05364156142036,279783.0489832325,2532.9909303539066,219.83518618993847,204.9805811219699,0.1339932884628104,1011859.8892902357
6,30,1305341.5516765637,275683.8559199571,44543.31258504886,163404.89167448645,5451.051622106802,301.6098309915265,222.51571318385353,0.09576702437208437,1581025.4075965208
7,31,1567895.8615643212,73214.94022896496,12266.494917643799,279707.18209093495,11268.57780165292,380.90459435647716,196.5281069100912,0.13805193184286277,1641110.801793286
8,31,1457710.7218414077,0.0,0.0,411440.47996463085,23794.066631348363,270.0223454809799,216.10815829011733,0.18964770497285,1457710.7218414077
9,30,1264696.3819460974,12769.906501710411,1874.9412454479755,293798.828362706,62488.209256308626,363.27208136692025,175.02665415351555,0.15648642643506128,1277466.2884478078
10,31,1230607.3808965858,28335.160136897095,4271.355117177544,220367.5503745507,31319.305714132737,261.4557803577629,162.98023339734092,0.1252765338456817,1258942.5410334829
11,30,1318339.417825263,51767.60232788806,8058.37090954511,95381.76260079615,14861.23528643268,188.2995856952425,153.04956569761464,0.07143893487827965,1370107.0201531511
12,31,1689742.7948894217,113410.51174326827,19956.2227977231,90161.2773315382,24647.257173968945,250.08673093407407,109.03272266894692,0.08005123462927238,1803153.30663269
