日期,变量,基准,权重
2025-02-01,负载,附件1先验,0.06323430711014458
2025-02-01,负载,前1天,0.08107223955745227
2025-02-01,负载,前7天,0.3646090073784168
2025-02-01,负载,近7天中位数,0.08073364427138685
2025-02-01,负载,同星期中位数,0.4103508016825994
2025-02-02,负载,附件1先验,0.0638613303182933
2025-02-02,负载,前1天,0.08241415018715079
2025-02-02,负载,前7天,0.36516138323612174
2025-02-02,负载,近7天中位数,0.08158950581166294
2025-02-02,负载,同星期中位数,0.40697363044677115
2025-02-03,负载,附件1先验,0.06527349962655082
2025-02-03,负载,前1天,0.0835148438551723
2025-02-03,负载,前7天,0.3629707540480714
2025-02-03,负载,近7天中位数,0.08641086178933079
2025-02-03,负载,同星期中位数,0.4018300406808747
2025-02-04,负载,附件1先验,0.06603247774149586
2025-02-04,负载,前1天,0.08393004489861026
2025-02-04,负载,前7天,0.36344284563237933
2025-02-04,负载,近7天中位数,0.08688635240220519
2025-02-04,负载,同星期中位数,0.39970827932530945
2025-02-05,负载,附件1先验,0.06770496639849553
2025-02-05,负载,前1天,0.0853025619625179
2025-02-05,负载,前7天,0.3616552840933133
2025-02-05,负载,近7天中位数,0.08840322633239958
2025-02-05,负载,同星期中位数,0.3969339612132737
2025-02-06,负载,附件1先验,0.06855180579424841
2025-02-06,负载,前1天,0.08583981472531213
2025-02-06,负载,前7天,0.3618962076496365
2025-02-06,负载,近7天中位数,0.08889743163202193
2025-02-06,负载,同星期中位数,0.39481474019878093
2025-02-07,负载,附件1先验,0.06981948976912242
2025-02-07,负载,前1天,0.08680456601655588
2025-02-07,负载,前7天,0.3613453279316062
2025-02-07,负载,近7天中位数,0.08979320192376218
2025-02-07,负载,同星期中位数,0.3922374143589533
2025-02-08,负载,附件1先验,0.06993366171728327
2025-02-08,负载,前1天,0.08770378427358069
2025-02-08,负载,前7天,0.3611979975820553
2025-02-08,负载,近7天中位数,0.09076356758867792
2025-02-08,负载,同星期中位数,0.39040098883840285
2025-02-09,负载,附件1先验,0.06972032704775549
2025-02-09,负载,前1天,0.08834986279163919
2025-02-09,负载,前7天,0.36420925678297694
2025-02-09,负载,近7天中位数,0.0912715093542816
2025-02-09,负载,同星期中位数,0.3864490440233468
2025-02-10,负载,附件1先验,0.07038625583572117
2025-02-10,负载,前1天,0.08831357887342568
2025-02-10,负载,前7天,0.36746112081189997
2025-02-10,负载,近7天中位数,0.09148667946593818
2025-02-10,负载,同星期中位数,0.3823523650130149
2025-02-11,负载,附件1先验,0.07132955579942822
2025-02-11,负载,前1天,0.08882208517489698
2025-02-11,负载,前7天,0.3687801900550366
2025-02-11,负载,近7天中位数,0.09198022569691074
2025-02-11,负载,同星期中位数,0.37908794327372747
2025-02-12,负载,附件1先验,0.07205831828939721
2025-02-12,负载,前1天,0.0889693555626522
2025-02-12,负载,前7天,0.3714753756623807
2025-02-12,负载,近7天中位数,0.09221158583027528
