date,issue_hour,price_model,pv_model,start_soc_kwh,proxy_objective,mip_gap,mip_absolute_gap,constraint_error,max_reserve_slack_soc_kwh,terminal_penalty,reserve_penalty,historical_days
2025-02-01,0,weekday4,mean7,7351.026421393297,22681.072882803575,0.0,0.0,1.8189894035458565e-12,0.0,0.6107586783796203,3.758514943874586,31
2025-02-02,0,weekday4,mean7,7653.470778271605,71463.86499211068,0.0,0.0,2.2737367544323206e-13,0.0,0.7770583213203919,4.781897361971642,32
2025-02-03,0,weekday4,mean7,7316.201574021165,69308.46684913755,0.0,0.0,2.6147972675971687e-12,0.0,0.7689259146987565,4.731851782761578,33
2025-02-04,0,weekday4,mean7,7350.1918620634915,69440.65047191195,0.0,0.0,4.547473508864641e-13,0.0,0.7643755543409251,4.703849565174924,34
2025-02-05,0,weekday4,mean7,7449.659604189594,68254.03507103502,0.0,0.0,1.0732155904709845e-11,0.0,0.7647687005682051,4.7062689265735695,35
2025-02-06,0,weekday4,mean7,7215.9345683844795,69719.56834449196,0.0,0.0,4.547473508864641e-13,0.0,0.7652892635874261,4.709472391307237,36
2025-02-07,0,weekday4,mean7,7251.036314153441,21407.32673695553,4.336827024018471e-10,9.283987310482189e-06,1.8189894035458565e-12,0.0,0.5979644936818441,3.679781499580579,37
2025-02-08,0,weekday4,mean7,6987.7756122354485,19682.32397365984,1.6584969621822108e-10,3.2643074519000947e-06,9.094947017729282e-12,0.0,0.58344274175606,3.590416872344985,38
2025-02-09,0,weekday4,mean7,7005.735727923281,63934.038080285434,0.0,0.0,9.094947017729282e-13,0.0,0.7484445034580351,4.605812328972524,39
2025-02-10,0,lag7,mean7,6646.7901766666655,62572.48178608708,0.0,0.0,2.2737367544323206e-13,0.0,0.7016539339305589,4.317870362649593,40
2025-02-11,0,lag7,mean7,6919.652089828043,60937.49447747998,0.0,0.0,1.1368683772161603e-13,0.0,0.7051994047521675,4.339688644628723,41
2025-02-12,0,lag7,mean7,6705.663365396826,60403.93796132981,0.0,0.0,2.2737367544323206e-13,0.0,0.70434985768546,4.334460662679754,42
2025-02-13,0,lag7,mean7,6713.252528835976,59551.8177462724,0.0,0.0,1.7053025658242404e-12,0.0,0.7006350766853954,4.3116004719101255,43
2025-02-14,0,lag7,mean7,6820.6855103439175,17334.21620227852,0.0,0.0,4.504840944719035e-12,0.0,0.5308292491083143,3.2666415329742415,44
2025-02-15,0,lag7,mean7,6876.233605899471,16648.394867045066,0.0,0.0,3.637978807091713e-12,0.0,0.5294913503095091,3.2584083095969794,45
2025-02-16,0,lag7,mean7,6551.42299746032,56823.50721531586,0.0,0.0,2.2737367544323206e-13,0.0,0.6985864936910801,4.298993807329723,46
2025-02-17,0,lag7,mean7,6783.6928603941815,54978.824642647756,0.0,0.0,1.1368683772161603e-12,0.0,0.6789266527445844,4.178010170735904,47
2025-02-18,0,lag7,mean7,6729.049439554233,55248.89683271694,0.0,0.0,1.4779288903810084e-12,0.0,0.6880750785051958,4.234308175416589,48
2025-02-19,0,lag7,mean7,6961.1333436243385,54347.20270566509,0.0,0.0,7.73070496506989e-12,0.0,0.6863802574986945,4.223878507684273,49
2025-02-20,0,lag7,mean7,6554.771553636098,53510.64876437408,0.0,0.0,2.9558577807620168e-12,0.0,0.6766358585510694,4.163912975698889,50
2025-02-21,0,lag7,mean7,6824.409267863316,15808.004162503918,0.0,0.0,3.463185294094728e-11,0.0,0.5211282720820598,3.206943212812676,51
2025-02-22,0,lag7,mean7,6961.070360211643,16029.34868739869,0.0,0.0,7.275957614183426e-12,0.0,0.5269539025934358,3.2427932467288354,52
2025-02-23,0,lag7,mean7,6886.787897116401,53342.27269870815,0.0,0.0,9.094947017729282e-13,0.0,0.6904646596907881,4.249013290404849,53
2025-02-24,0,lag7,mean7,6792.458164523811,52291.9503611351,1.3914106404398197e-16,0.0,1.0686562745831907e-11,0.0,0.679485386214076,4.18144853054816,54
2025-02-25,0,lag7,mean7,6845.805221005291,51540.03824049252,0.0,7.275957614183426e-12,9.094947017729282e-13,0.0,0.6771960408234159,4.16736025122102,55
2025-02-26,0,lag7,mean7,6632.87307923281,51249.27472985055,0.0,0.0,9.094947017729282e-13,0.0,0.678751970668375,4.176935204113077,56
