日期,时间段,充电量,放电量,时刻,储电量
2025-03-20,0:00-4:00,3643.019936118462,711.1758666666667,0:00,6993.811293234125
2025-03-20,4:00-8:00,2499.2299782774876,5108.966504761905,24:00,6642.008694424605
2025-03-20,8:00-12:00,5774.433123985892,2777.3772166666668,,
2025-03-20,12:00-16:00,3241.109810405647,408.3584642857138,,
2025-03-20,16:00-20:00,252.92090476190458,8391.191360714287,,
2025-03-20,20:00-24:00,5732.440010853909,45.507474999999886,,
2025-06-21,0:00-4:00,728.529630952381,3566.7253427678575,0:00,7899.238091170637
2025-06-21,4:00-8:00,1325.4195928571423,1733.5648071428573,24:00,8249.898962202382
2025-06-21,8:00-12:00,7712.687650088179,0.0,,
2025-06-21,12:00-16:00,0.0,0.0,,
2025-06-21,16:00-20:00,35.229523809523926,4421.574317261904,,
2025-06-21,20:00-24:00,6619.890095421812,3264.163508333333,,
2025-09-23,0:00-4:00,6156.421532600645,1143.81635,0:00,6530.1276762149755
2025-09-23,4:00-8:00,951.787021810698,5895.45458347619,24:00,6868.263629933861
2025-09-23,8:00-12:00,5276.5280805114635,1896.6157166666662,,
2025-09-23,12:00-16:00,3843.6730318636096,500.8316357142853,,
2025-09-23,16:00-20:00,329.8461642857159,7182.833204761904,,
2025-09-23,20:00-24:00,5817.224890020576,1200.2655351190474,,
2025-12-21,0:00-4:00,4601.737642285126,89.17734999999993,0:00,6700.81656638783
2025-12-21,4:00-8:00,1621.8207054673726,2083.0441666666666,24:00,6693.2395160251335
2025-12-21,8:00-12:00,6095.425935038213,6145.041333333333,,
2025-12-21,12:00-16:00,5244.765540564375,2220.1094166666667,,
2025-12-21,16:00-20:00,0.0,5557.300322619047,,
2025-12-21,20:00-24:00,5807.088461368312,2842.5257666666666,,
