日期,购电时间段,购电量
2025-02-01,,
2025-02-02,,
2025-02-03,,
2025-02-04,,
2025-02-05,,
2025-02-06,,
2025-02-07,,
2025-02-08,,
2025-02-09,,
2025-02-10,,
2025-02-11,,
2025-02-12,,
2025-02-13,,
2025-02-14,,
2025-02-15,,
2025-02-16,,
2025-02-17,,
2025-02-18,,
2025-02-19,,
2025-02-20,6:00-6:10,21.94366190476171
2025-02-21,,
2025-02-22,,
2025-02-23,,
2025-02-24,6:00-6:10,8.2959452380951
2025-02-25,6:20-6:30,9.29946428571418
2025-02-26,,
2025-02-27,,
2025-02-28,,
2025-03-01,,
2025-03-02,20:00-20:20,710.2381109890343
2025-03-02,20:30-20:40,679.4091833333333
2025-03-02,20:50-21:00,21.69698449999994
2025-03-02,21:30-21:40,65.04746836111076
2025-03-03,20:20-20:50,906.1265896275391
2025-03-03,21:10-21:40,44.307054166666106
2025-03-04,,
2025-03-05,,
2025-03-06,,
2025-03-07,,
2025-03-08,,
2025-03-09,,
2025-03-10,,
2025-03-11,,
2025-03-12,,
2025-03-13,20:30-20:40,634.5483480759012
2025-03-14,,
2025-03-15,,
2025-03-16,5:50-6:00,1.6400000000001
2025-03-17,,
2025-03-18,,
2025-03-19,,
2025-03-20,,
2025-03-21,,
2025-03-22,,
2025-03-23,,
2025-03-24,,
2025-03-25,,
2025-03-26,,
2025-03-27,,
2025-03-28,,
2025-03-29,,
2025-03-30,,
2025-03-31,,
2025-04-01,20:30-20:50,134.0498595952388
2025-04-02,9:50-10:20,197.36813630952733
2025-04-02,20:00-20:10,6.6774859761860625
2025-04-02,20:20-20:40,771.3482588333334
2025-04-03,,
2025-04-04,,
2025-04-05,,
2025-04-06,,
2025-04-07,,
2025-04-08,,
2025-04-09,20:30-20:50,379.1701869047673
2025-04-10,,
2025-04-11,,
2025-04-12,,
2025-04-13,,
2025-04-14,,
2025-04-15,,
2025-04-16,,
2025-04-17,,
2025-04-18,,
2025-04-19,,
2025-04-20,,
2025-04-21,,
2025-04-22,,
2025-04-23,,
2025-04-24,,
2025-04-25,,
2025-04-26,,
2025-04-27,20:30-20:40,582.43508151786
2025-04-28,19:30-20:10,2746.8293452857124
2025-04-28,20:30-21:00,663.7915905005883
2025-04-29,20:30-20:40,323.7832426666622
2025-04-30,,
2025-05-01,20:20-21:50,1511.7478474873574
2025-05-02,20:20-21:20,1547.1389636904746
2025-05-02,21:30-21:50,95.08869583333333
2025-05-03,20:30-21:50,1188.3396994268069
2025-05-04,20:30-22:00,1241.7265571428534
2025-05-05,20:30-21:50,1231.6298696428526
2025-05-06,20:30-22:00,1112.6027086904764
