日期,购电时间段,购电量
2025-02-01,,
2025-02-02,,
2025-02-03,,
2025-02-04,,
2025-02-05,,
2025-02-06,,
2025-02-07,,
2025-02-08,,
2025-02-09,,
2025-02-10,,
2025-02-11,,
2025-02-12,,
2025-02-13,,
2025-02-14,,
2025-02-15,,
2025-02-16,,
2025-02-17,,
2025-02-18,,
2025-02-19,,
2025-02-20,6:00-6:10,37.51693611111102
2025-02-21,,
2025-02-22,,
2025-02-23,6:00-6:10,6.089919444444604
2025-02-24,6:00-6:10,23.626330555555683
2025-02-25,,
2025-02-26,,
2025-02-27,,
2025-02-28,,
2025-03-01,,
2025-03-02,,
2025-03-03,,
2025-03-04,,
2025-03-05,,
2025-03-06,,
2025-03-07,,
2025-03-08,,
2025-03-09,,
2025-03-10,,
2025-03-11,,
2025-03-12,,
2025-03-13,,
2025-03-14,,
2025-03-15,,
2025-03-16,5:50-6:00,1.6400000000001
2025-03-17,,
2025-03-18,,
2025-03-19,,
2025-03-20,,
2025-03-21,,
2025-03-22,,
2025-03-23,,
2025-03-24,,
2025-03-25,,
2025-03-26,,
2025-03-27,,
2025-03-28,,
2025-03-29,,
2025-03-30,,
2025-03-31,,
2025-04-01,,
2025-04-02,,
2025-04-03,,
2025-04-04,,
2025-04-05,,
2025-04-06,,
2025-04-07,,
2025-04-08,,
2025-04-09,,
2025-04-10,,
2025-04-11,,
2025-04-12,,
2025-04-13,,
2025-04-14,,
2025-04-15,,
2025-04-16,,
2025-04-17,,
2025-04-18,,
2025-04-19,,
2025-04-20,,
2025-04-21,,
2025-04-22,,
2025-04-23,,
2025-04-24,,
2025-04-25,,
2025-04-26,,
2025-04-27,,
2025-04-28,,
2025-04-29,,
2025-04-30,,
2025-05-01,20:20-21:50,1271.1970332849755
2025-05-02,20:40-21:20,697.9368402777761
2025-05-02,21:30-21:50,95.08869583333333
2025-05-03,20:30-21:50,1202.1863587839484
2025-05-04,20:30-22:00,1247.2529416666684
2025-05-05,20:30-21:50,691.3244891666649
2025-05-06,20:30-22:00,820.4613976666658
2025-05-07,20:30-20:50,241.9348474166659
2025-05-07,21:10-22:00,427.72555416666654
2025-05-08,,
2025-05-09,,
2025-05-10,,
2025-05-11,19:10-19:30,41.18071666666674
2025-05-12,,
2025-05-13,,
2025-05-14,,
2025-05-15,,
2025-05-16,,
2025-05-17,,
2025-05-18,,
2025-05-19,20:10-20:20,12.233166666666648
2025-05-20,,
2025-05-21,,
2025-05-22,,
2025-05-23,,
2025-05-24,,
2025-05-25,,
2025-05-26,,
2025-05-27,,
2025-05-28,,
2025-05-29,19:10-19:20,17.817433333333497
2025-05-30,,
2025-05-31,,
