date,price_model,history_pv_model
2025-01-01,cold_start_prior,cold_start_prior
2025-01-02,lag1,lag1
2025-01-03,lag1,lag1
2025-01-04,lag1,lag1
2025-01-05,lag1,lag1
2025-01-06,lag1,lag1
2025-01-07,lag1,lag1
2025-01-08,lag7,lag7
2025-01-09,lag7,mean7
2025-01-10,lag7,mean28
2025-01-11,lag7,mean28
2025-01-12,lag7,mean28
2025-01-13,lag7,mean28
2025-01-14,lag7,mean28
2025-01-15,lag7,mean28
2025-01-16,weekday4,mean28
2025-01-17,weekday4,mean28
2025-01-18,weekday4,mean7
2025-01-19,weekday4,mean7
2025-01-20,weekday4,mean7
2025-01-21,weekday4,mean7
2025-01-22,weekday4,mean7
2025-01-23,weekday4,mean7
2025-01-24,weekday4,mean7
2025-01-25,weekday4,mean7
2025-01-26,weekday4,mean7
2025-01-27,weekday4,mean7
2025-01-28,weekday4,mean7
2025-01-29,weekday4,mean7
2025-01-30,weekday4,mean7
2025-01-31,weekday4,mean7
2025-02-01,weekday4,mean7
2025-02-02,weekday4,mean7
2025-02-03,weekday4,mean7
2025-02-04,weekday4,mean7
2025-02-05,weekday4,mean7
2025-02-06,weekday4,mean7
2025-02-07,weekday4,mean7
2025-02-08,weekday4,mean7
2025-02-09,weekday4,mean7
2025-02-10,lag7,mean7
2025-02-11,lag7,mean7
2025-02-12,lag7,mean7
2025-02-13,lag7,mean7
2025-02-14,lag7,mean7
2025-02-15,lag7,mean7
2025-02-16,lag7,mean7
2025-02-17,lag7,mean7
2025-02-18,lag7,mean7
2025-02-19,lag7,mean7
2025-02-20,lag7,mean7
2025-02-21,lag7,mean7
2025-02-22,lag7,mean7
2025-02-23,lag7,mean7
2025-02-24,lag7,mean7
2025-02-25,lag7,mean7
2025-02-26,lag7,mean7
2025-02-27,lag7,mean7
2025-02-28,lag7,mean7
2025-03-01,lag7,mean7
2025-03-02,lag7,mean7
2025-03-03,lag7,mean7
2025-03-04,lag7,mean7
2025-03-05,lag7,mean7
2025-03-06,lag7,mean7
2025-03-07,lag7,mean7
2025-03-08,lag7,mean7
2025-03-09,lag7,mean7
2025-03-10,lag7,mean7
2025-03-11,lag7,mean7
2025-03-12,lag7,mean7
2025-03-13,lag7,mean7
2025-03-14,lag7,mean7
2025-03-15,lag7,mean7
2025-03-16,lag7,mean7
2025-03-17,lag7,mean7
2025-03-18,lag7,mean7
2025-03-19,lag7,mean7
2025-03-20,lag7,mean7
2025-03-21,lag7,mean7
2025-03-22,lag7,mean7
2025-03-23,lag7,mean7
2025-03-24,lag7,mean7
2025-03-25,lag7,mean7
2025-03-26,weekday4,mean7
2025-03-27,weekday4,mean7
2025-03-28,weekday4,mean7
2025-03-29,weekday4,mean7
2025-03-30,weekday4,mean7
2025-03-31,weekday4,mean7
2025-04-01,lag7,mean7
2025-04-02,lag7,mean7
2025-04-03,weekday4,mean7
2025-04-04,weekday4,mean7
2025-04-05,weekday4,mean7
2025-04-06,weekday4,mean7
2025-04-07,weekday4,mean7
2025-04-08,weekday4,mean7
2025-04-09,weekday4,mean7
2025-04-10,weekday4,mean7
2025-04-11,weekday4,mean7
2025-04-12,weekday4,mean7
2025-04-13,weekday4,mean7
2025-04-14,weekday4,mean7
2025-04-15,weekday4,mean7
2025-04-16,weekday4,mean7
2025-04-17,weekday4,mean7
2025-04-18,weekday4,mean7
2025-04-19,weekday4,mean7
2025-04-20,weekday4,mean7
2025-04-21,weekday4,mean7
2025-04-22,weekday4,mean7
2025-04-23,weekday4,mean7
2025-04-24,weekday4,mean7
2025-04-25,weekday4,mean7
2025-04-26,weekday4,mean7
2025-04-27,weekday4,mean7
2025-04-28,weekday4,mean7
2025-04-29,weekday4,mean7
2025-04-30,weekday4,mean7
2025-05-01,weekday4,mean7
2025-05-02,weekday4,mean7
2025-05-03,weekday4,mean7
2025-05-04,weekday4,mean7
2025-05-05,weekday4,mean7
2025-05-06,weekday4,mean7
2025-05-07,weekday4,mean7
2025-05-08,weekday4,mean7
2025-05-09,weekday4,mean7
2025-05-10,weekday4,mean7
2025-05-11,weekday4,mean7
2025-05-12,weekday4,mean7
2025-05-13,weekday4,mean7
2025-05-14,weekday4,mean7
2025-05-15,weekday4,mean7
2025-05-16,weekday4,mean7
2025-05-17,weekday4,mean7
2025-05-18,weekday4,mean7
2025-05-19,weekday4,mean7
2025-05-20,weekday4,mean7
2025-05-21,weekday4,mean7
2025-05-22,weekday4,mean7
2025-05-23,weekday4,mean7
2025-05-24,weekday4,mean7
2025-05-25,weekday4,mean7
2025-05-26,weekday4,mean7
2025-05-27,weekday4,mean7
2025-05-28,weekday4,mean7
2025-05-29,weekday4,mean7
2025-05-30,weekday4,mean7
2025-05-31,weekday4,mean7
2025-06-01,weekday4,mean7
2025-06-02,weekday4,mean7
2025-06-03,weekday4,mean7
2025-06-04,weekday4,mean7
2025-06-05,weekday4,mean7
2025-06-06,weekday4,mean7
2025-06-07,weekday4,mean7
2025-06-08,weekday4,mean7
2025-06-09,weekday4,mean7
2025-06-10,weekday4,mean7
2025-06-11,weekday4,mean7
2025-06-12,weekday4,mean7
2025-06-13,weekday4,mean7
2025-06-14,weekday4,mean7
2025-06-15,weekday4,mean7
2025-06-16,weekday4,mean7
2025-06-17,weekday4,mean7
2025-06-18,weekday4,mean7
2025-06-19,lag7,mean7
2025-06-20,lag7,mean7
2025-06-21,weekday4,mean7
2025-06-22,weekday4,mean7
2025-06-23,weekday4,mean7
2025-06-24,lag7,mean7
2025-06-25,lag7,mean7
2025-06-26,lag7,mean7
2025-06-27,lag7,mean7
2025-06-28,lag7,mean7
2025-06-29,lag7,mean7
2025-06-30,lag7,mean7
2025-07-01,lag7,mean7
2025-07-02,lag7,mean7
2025-07-03,lag7,mean7
2025-07-04,lag7,mean7
2025-07-05,lag7,mean7
2025-07-06,lag7,mean7
2025-07-07,lag7,mean7
2025-07-08,weekday4,mean7
2025-07-09,lag7,mean7
2025-07-10,lag7,mean7
2025-07-11,lag7,mean7
2025-07-12,lag7,mean7
2025-07-13,lag7,mean7
2025-07-14,lag7,mean7
2025-07-15,lag7,mean7
2025-07-16,lag7,mean7
2025-07-17,lag7,mean7
2025-07-18,lag7,mean7
2025-07-19,lag7,mean7
2025-07-20,lag7,mean7
2025-07-21,lag7,mean7
2025-07-22,lag7,mean7
2025-07-23,lag7,mean7
2025-07-24,lag7,mean7
2025-07-25,lag7,mean7
2025-07-26,lag7,mean7
2025-07-27,lag7,mean7
2025-07-28,lag7,mean7
2025-07-29,lag7,mean7
2025-07-30,lag7,mean7
2025-07-31,lag7,mean7
2025-08-01,lag7,mean7
2025-08-02,lag7,mean7
2025-08-03,lag7,mean7
2025-08-04,lag7,mean7
2025-08-05,lag7,mean7
2025-08-06,lag7,mean7
2025-08-07,lag7,mean7
